source,listing_id,title,price,currency,year,fuel_type,transmission,creator,sector,mileage,brand,model,door_count,origin,first_owner,fiscal_power,condition,equipment,seller_city,image_folder,url,publication_date
avito,77120133,Iveco Daily 35-150 3.5 Tonnes,350000,DH,2022,Diesel,Manuelle,B&B AUTO,Casablanca,90000,Iveco,35c,5,WW au Maroc,Oui,8 CV,Excellent,"Iveco 3.5 T avec hayon en état neuf.
- Année-Modèle : 2022
- Type de carburant : Diesel
- Puissance fiscale : 8 CV
Contactez-moi pour plus d'informations.",Casablanca,,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Iveco_Daily_35_150_3_5_Tonnes_57661914.htm,2026-08-13 08:20:17
avito,77924875,AUDI Q3 QUATTRO AUTOMATIQUE,,DH,2017,Diesel,Automatique,HICHAM RAYAN ,Fès,139000,Audi,Q3,5,WW au Maroc,Oui,8 CV,Excellent,"Je vends une Audi Q3 Quattro Automatique en excellent état.
- Marque : Audi
- Modèle : Q3
- Année-Modèle : 2017
- Carburant : Diesel
- Boîte de vitesses : Automatique
- Puissance fiscale : 8 CV
- Origine : WW au Maroc
- Première main : Oui
- Nombre de portes : 5
- Climatisation
- Sièges en cuir
- Jantes aluminium
- Radar et caméra de recul
- Vitres électriques
- ABS, ESP
- Régulateur et limiteur de vitesse
- CD MP3 Bluetooth
- Ordinateur de bord
- Verrouillage centralisé à distance
- Airbags
Contactez-moi pour plus d'informations.",Fès,,https://www.avito.ma/fr/centre/voitures_d_occasion/AUDI_Q3_QUATTRO_AUTOMATIQUE_58414005.htm,2026-08-13 13:48:24
avito,77963582,Audi Q3 S-sportback 2.0 Diesel Automatique 2021,430000,DH,2021,Diesel,Automatique,Hatim,Casablanca,180000,Audi,Q3,5,Dédouanée,Non,8 CV,Excellent,"Je vends une Audi Q3 S-line de 2021 en excellent état. Dédouanée 2025.
- Kilométrage : 180 000 km
- Motorisation : Diesel
- Boîte de vitesses : Automatique
- Puissance fiscale : 8 CV
- Couleur : Blanc
- Nombre de portes : 5
- Origine : Dédouanée
- Finition : S-line
- Options : Jantes aluminium, Airbags, Climatisation, Système de navigation GPS, Sièges cuir, Toit ouvrant, Caméra de recul, Radar de recul, ESP, Vitres électriques, ABS, Limiteur de vitesse, Régulateur de vitesse, Ordinateur de bord, CD/MP3/Bluetooth, Verrouillage centralisé à distance.
Contactez-moi pour plus d'informations.",Casablanca,,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Audi_Q3_S_sportback_2_0_Diesel_Automatique_2021_58450180.htm,2026-08-12 18:58:20
avito,65208777,MG3 ESSENCE 50.000 KLM 1 ER MAIN ✋️,79000,DH,2016,Essence,Manuelle,Auto Simo,Casablanca,50000,MG,MG3,5,WW au Maroc,Oui,8 CV,Excellent,"Voiture en excellent état jamais accidentée, première main ✋️, peinture d’origine, essence ⛽️, 8 ch, vignette à 650 dh, 50.000 km, clim, jantes aluminium avec pneus neufs, ordinateur de bord, radio CD MP3 aux USB, 2 clés, commande à distance, vitres électriques, airbag, radar de recul, verrouillage électrique enfant, accoudoirs central, antibrouillard, phares directionnels xénon, barre de toit.....",Casablanca,,https://www.avito.ma/fr/sidi_maarouf/voitures_d_occasion/MG3_ESSENCE_50_000_KLM_1_ER_MAIN____49337126.htm,2026-08-13 14:04:35
avito,77878180,Dacia Duster Diesel Manuelle 2023 à Mohammedia,,DH,2023,Diesel,Manuelle,Maison Occaz ,Mohammedia,86414,Dacia,Duster,5,WW au Maroc,N/A,6 CV,Très bon,"À vendre Dacia Duster Diesel Manuelle de 2023 en très bon état.
- Kilométrage : 86414 km
- Boite de vitesses : Manuelle
- Carburant : Diesel
- Année-Modèle : 2023
- Puissance fiscale : 6 CV
- Nombre de portes : 5
- Origine : WW au Maroc
- Jantes aluminium
- Airbags
- Climatisation
- Vitres électriques
- ABS
- ESP
- Ordinateur de bord
- Verrouillage centralisé à distance
- Lecteur CD MP3 Bluetooth
- Régulateur de vitesse
- Limiteur de vitesse
Contactez-moi pour plus d'informations.",Mohammedia,,https://www.avito.ma/fr/corniche/voitures_d_occasion/Dacia_Duster_Diesel_Manuelle_2023_à_Mohammedia_58370365.htm,2026-08-13 14:03:30
avito,77969740,Volkswagen Golf 7 Diesel Manuelle 2015 à Agadir,,DH,2015,Diesel,Manuelle,Younes Oubari,Agadir,392911,Volkswagen,Golf 7,5,WW au Maroc,Non,8 CV,Excellent,"Volkswagen Golf 7 — 2015
Moteur : 2.0
Boîte de vitesses : manuelle
Puissance fiscale : 8 CV
Voiture en bon état",Agadir,,https://www.avito.ma/fr/el_houda/voitures_d_occasion/Volkswagen_Golf_7_Diesel_Manuelle_2015_à_Agadir_58456013.htm,2026-08-13 14:06:03
avito,77969664,Audi A3 Sline,,DH,2023,Diesel,Automatique,oussama samadi,Tanger,70000,Audi,A3,5,Importée neuve,Non,Plus de 41 CV,Très bon,"Audi A3 Sline
Quattro
200 chevaux
Importée neuve
Modèle 2023
Dédouanement 2023
70000 km",Tanger,,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Audi_A3_Sline_58456007.htm,2026-08-13 14:05:17
avito,77098519,Renault Kadjar 2022 à Casablanca,229000,DH,2022,Diesel,Automatique,Vendez Votre Voiture,Casablanca,79200,Renault,Kadjar,5,WW au Maroc,Non,6 CV,Excellent,"Kadjar 2022 1.5 dCi 110ch 6cv (Vignette 700 dh) Boîte automatique Km79200
Excellent état.
Entretien chez Renault
Accès et démarrage mains libres
Radars avant arrière et caméra de recul
Très économique",Casablanca,,https://www.avito.ma/fr/belvédère/voitures_d_occasion/Renault_Kadjar_2022_à_Casablanca_57641582.htm,2026-08-13 14:02:56
avito,77969601,Audi A3 Sline,,DH,2023,Diesel,Automatique,oussama samadi,Tanger,70000,Audi,A3,5,Importée neuve,Non,Plus de 41 CV,Très bon,"Audi A3 Sline
Importée neuve
Modèle 2023
70000 km",Tanger,,https://www.avito.ma/fr/branes_2/voitures_d_occasion/Audi_A3_Sline_58455998.htm,2026-08-13 14:04:50
avito,77969564,Bonne voiture,61000,DH,2025,Diesel,Manuelle,Driss Driss,Fès,200000,Citroën,C3,5,WW au Maroc,Non,5 CV,Bon,"Je propose à la vente une Citroën C3 en bon état.
- Jantes en aluminium
- Climatisation
- Verrouillage centralisé à distance
- Modèle : 2025
- Puissance fiscale : 5 CV
- Type de carburant : Diesel
- Boîte de vitesses : Manuelle
- Droits de douane : Achetée au Maroc
- Nombre de portes : 5
Contactez-moi si vous êtes intéressé.",Fès,,https://www.avito.ma/fr/fès/voitures_d_occasion/Bonne_voiture_58455996.htm,2026-08-13 14:04:28
