source,listing_id,title,price,currency,year,fuel_type,transmission,creator,sector,mileage,brand,model,door_count,origin,first_owner,fiscal_power,condition,equipment,seller_city,image_folder,url,publication_date
moteur,633187,hyundai Tucson,Appeler pour le prix,MAD,2022,Diesel,Automatique,N/A,Casablanca,"94,000 km",Hyundai,Tucson,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633187/hyundai-tucson.html,2026-08-13 15:00:36
moteur,633186,Volkswagen Golf 7 Diesel Automatique 2018,"185,000 MAD",MAD,2018,Diesel,Automatique,N/A,Casablanca,"190,000 km",Volkswagen,Golf 7,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633186/volkswagen-golf-7.html,2026-08-13 15:00:36
moteur,633185,VOLGSWAGEN T ROC EXTREM 2024  1ERE MAIN,"317,000 MAD",MAD,2024,Diesel,Automatique,N/A,Fes,"89,000 km",Volkswagen,T-Roc,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Fes,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633185/volkswagen-t-roc.html,2026-08-13 15:00:36
moteur,633184,Citroën C5 Diesel Automatique 2020 à Casablanca,"225,000 MAD",MAD,2020,Diesel,Automatique,N/A,Casablanca,"13,000 km",Citroën,C5,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633184/citroen-c5.html,2026-08-13 15:00:36
moteur,633183,Citroën C3 Diesel Manuelle 2019 à Tanger,"116,000 MAD",MAD,2019,Diesel,Manuelle,N/A,Tanger,"130,000 km",Citroën,C3,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Régulateur de vitesse, ESP, Navigation GPS, Ordinateur de bord, Jantes, CD / MP3 / Bluetooth",Tanger,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633183/citroen-c3.html,2026-08-13 15:00:35
moteur,633182,Toyota RAV4 essence automatique,"50,000 MAD",MAD,2011,Essence,Automatique,N/A,Safi,"160,000 km",BMW,Z3,N/A,N/A,N/A,11,N/A,Particulier 1ère main sur commande importe Neuf avec carnet d'entretien suivi a la maison,Safi,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633182/bmw-z3.html,2026-08-13 15:00:35
moteur,633181,Citroën C3 Essence Automatique 2025 à Casablanca,"160,000 MAD",MAD,2025,Essence,Automatique,N/A,Casablanca,"17,300 km",Citroën,C3,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633181/citroen-c3.html,2026-08-13 15:00:35
moteur,633180,cherche bmw serie 3 e46,Appeler pour le prix,MAD,2003,Essence,Manuelle,N/A,Casablanca,"160,000 km",BMW,Série 3,N/A,N/A,N/A,11,N/A,État du véhicule,Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633180/bmw-serie-3.html,2026-08-13 15:00:34
moteur,633179,Honda CRV diesel automatique,"55,000 MAD",MAD,2011,Diesel,Automatique,N/A,Safi,"149,000 km",BMW,Z3,N/A,N/A,N/A,8,N/A,Particulier 1ère main sur commande importe Neuf avec carnet d'entretien suivi a la maison,Safi,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633179/bmw-z3.html,2026-08-13 15:00:34
moteur,633178,casablanca,Appeler pour le prix,MAD,2017,Diesel,Manuelle,N/A,Casablanca,135 km,Fiat,Fiorino,5,N/A,N/A,7,N/A,État du véhicule,Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633178/fiat-fiorino.html,2026-08-13 15:00:33
moteur,633177,honda accord 1er mlha,"36,000 MAD",MAD,2001,Essence,Manuelle,N/A,Casablanca,"30,000 km",Honda,Accord,5,N/A,N/A,11,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Vitres électriques, ESP, Intérieur cuir, Jantes, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633177/honda-accord.html,2026-08-13 15:00:33
