id,brand,condition,creator,door_count,equipment,first_owner,fiscal_power,fuel_type,image_folder,mileage,model,origin,price,publication_date,sector,seller_city,source,title,transmission,year
429871f4-0fab-44c5-adb6-aac6f2eb5fdb,audi,,RT AUTO,5,Audi q8 comme neuf,Oui,11,diesel,kdzeet93b5da_20,119000,Q8,,,12/05/2025 00:00,Casablanca,Casablanca,moteur,AUDI  Q8,Automatique,
e930825c-96cb-47e1-84c5-0fae9eaa825e,bmw,,MOHAMED,,"Annonce pour vente de bmw série 1 - très bon État - modèle 2021 À vendre : bmw série 1 full équipée, en très bon état première main www au maroc , jamais accidenté kilométrage :85000 caractéristiques principales : look sportif et équipements premium. intérieur : sièges en cuir haut de gamme, ambiance raffinée et confortable. carburant diesel- boîte automatique : conduite fluide et agréable. entretien suivi : tous les entretiens effectués en temps et en heure, aucun frais ni révision à prévoir. informations supplémentaires : véhicule non-fumeur et bien entretenu. idéal pour un conducteur exigeant à la recherche d’un modèle performant, fiable, et élégant. prix : 320 000 dh. À discuter contactez-moi pour plus d’informations ou pour organiser une visite. ne laissez pas passer cette occasion unique",Oui,,diesel,xi4a6kd2suls_4,85000,Serie,,320000,12/05/2025 00:00,Tanger,Tanger,moteur,BMW  Serie 1 116d,Automatique,
cbe8ce5e-844c-4a91-8fe8-8665a446a1cb,mercedes-benz,Excellent,Amjadd,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Non,8,diesel,dztdmk9bqovv_12,144999,220,WW au Maroc,,12/05/2025 10:41,Rabat,Hay el Fath,avito,Mercedes-Benz classe c220d,Automatique,2020
44b096ee-dc5c-479d-84aa-6489131a24fc,volkswagen,Excellent,Reda Lara,,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",,8,diesel,xikk61isckwv_29,224999,Passat,Importée neuve,160000,12/05/2025 10:41,Rabat,Agdal,avito,Volkswagen Passat Rline,Automatique,2014
752c9907-f8c0-4421-9bec-dd9de15847cd,opel,Très bon,Utilisateur,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Non,8,diesel,kqorni00yfdj_22,224999,Astra,WW au Maroc,110000,12/05/2025 10:41,El Jadida,Biranzarane,avito,Opel astra 2016 manuelle toute options,Manuelle,2016
b0efdbb1-ad43-4373-a77d-4edacc5d9d46,mercedes-benz,,AUTO SALA EL JADIDA,5,Auto sala el jadida mets en vente une nouvelle mercedes cla 220d pack amg line plus mise en circulation août 2023 km : 12.000 réel faible km kilométrage certifié peinture originale 1er main particulier suivi régulier maison auto nejma notre emplacement est disponible sur google maps et waze on acceptent également la reprise,Oui,8,diesel,6hf6xqrglxtl_19,14000,Classe,,,12/05/2025 00:00,Rabat,Rabat,moteur,MERCEDES-BENZ  Classe cla,Automatique,
c7963c0d-9a45-4231-bda3-a4a655fd4c9c,hyundai,,AUTO AYMANE,5,Hyundai i30 noveux diesel model 2022 toute options boîte automatique climatisation automatique volant multifonction limiteur régulateur jantes aluminium 17 pouces antibrouillard rétroviseurs rabattabel caméra de recul écran de bord gps radar de recul avant et arrière salon sport elc chofant mémoire 4vittres elc 1ère main entretien maison,Oui,6,diesel,johw0v2fvxf2_10,129000,I30,,,26/05/2025 00:00,Casablanca,Casablanca,moteur,HYUNDAI  I30,Automatique,
c5b02f45-6473-4671-b9cf-9c679c3d05e0,renault,,VOITURES PARTICULIERS CERTIFIéES,5,"•avito / moteur.ma vous proposer : •renault - kadjar 93200 km - modele 2020 en vente. •véhicule en excellent état •la voiture a été expertisée suivant plus de 50 points de contrôles. •le rapport d’expertise détaillé est disponible sur demande, garantissant la qualité et la fiabilité du véhicule. •le financement est disponible auprès de wafasalaf veuillez nous contacter pour plus d'informations ou pour voir le véhicule.",Oui,6,diesel,gncrn0uz3bg6_10,94000,Kadjar,,245000,12/05/2025 00:00,Casablanca,Casablanca,moteur,RENAULT  Kadjar,Manuelle,
57706328-ea9a-42f0-b65d-aaa0a7ba0e6c,alfa-romeo,,STELLANTIS &YOU CASABLANCA,5,"Alfa romeo stelvio quadrifoglio 2.9l v6 bi-trubo 510ch garantie 12 mois ou 50.000 km date de mise en circulation : janvier 2022 kilometrage : 60.000 le véhicule a été vérifié dans nos ateliers et soumis à un contrôle rigoureux possibilité de reprise de votre véhicule et financement à crédit. vitesse, efficacité et sécurité grâce à un mélange parfait de puissance et de technologie.",Oui,17,essence,ml01xok29qtq_26,64000,Stelvio,,660000,26/05/2025 00:00,Casablanca,Casablanca,moteur,ALFA-ROMEO  Stelvio,Automatique,
ae5a41dc-d0c1-46ad-a7e9-374b6a4d05c7,mercedes-benz,,MINT LUXE AUTO,5,À vendre mercedes classe a 220d full pack amg line plus avec pleins d'autres options à découvrir pour plus d’informations n’hésitez pas de nous contacter,Oui,8,diesel,w9nzxmcvrv38_13,4000,Classe,,,12/05/2025 00:00,Marrakech,Marrakech,moteur,MERCEDES-BENZ  Classe a R dynamique,Automatique,
3b43ccf4-643e-41ad-806e-74b5f060f7a2,porsche,Neuf,Auto RoumaisaaShopBadge Icon,5,,,12,hybride,fo1xt27xse38_29,2499,Cayenne,Importée neuve,,12/05/2025 11:30,Casablanca,Aïn Chock,avito,Porsche Cayenne Coupé Hybride,Automatique,2025
d78b0455-63e7-45b3-8e39-2b44f189d887,dacia,Excellent,SAIFCARSShopBadge Icon,5,,Oui,6,diesel,awguvuel5cax_32,97499,Sandero,WW au Maroc,112000,12/05/2025 19:11,Temara,Centre Ville,avito,Dacia Sandero 2021,Manuelle,2021
84da4a97-ec8a-4679-9cb0-e28288ccabe3,renault,,AHMED,4,Je vends ma voiture clio 4 intense 2021 tre tre bon état automatique tre faible consommation,Non,6,diesel,bxj5w1pw1mcg_6,120,Clio,,147000,12/05/2025 00:00,Sale,Sale,moteur,RENAULT  Clio Clio 4 intense,Automatique,
53ad0e04-b555-4a75-95ca-7fb498070075,audi,,MINT LUXE AUTO,5,À vendre audi a5 tech pro s line plus diesel full pack s line plus importee neuve en 2025 kilométrage 0 km avec plein d'options à découvrir pour plus d’informations n’hésitez pas de nous contacter,Oui,8,diesel,p3wp4yhl4t3k_14,4000,A5,,,12/05/2025 00:00,Marrakech,Marrakech,moteur,AUDI  A5 R line plus 4…,Automatique,
60a736ea-3729-4083-9206-08026e4f59ac,seat,Neuf,rachid bouzeraaShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,8,diesel,9eiasrweg5g0_14,2499,Tarraco,WW au Maroc,,12/05/2025 13:24,Casablanca,Bourgogne,avito,Seat Tarraco neuve 0 km BVA diesel 2025,Automatique,2025
bdc771d0-1452-4752-8349-b6e170083bd0,hyundai,Excellent,Ilyasse,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Non,9,diesel,v1qtjvft87ry_31,164999,Santa Fe,WW au Maroc,275000,12/05/2025 13:22,Casablanca,Sidi Moumen,avito,Hyundai santafe 2020 tres bon etat,Automatique,2020
7fa43c22-492b-442a-bbe6-5f7a245dcd99,audi,Très bon,Abdo,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Non,11,essence,2j6keaxxobdp_13,57499,Q3,Importée neuve,,12/05/2025 13:05,Tanger,Branes 2,avito,Audi Q3 Essence Automatique 2021 à Tanger,Automatique,2021
d7989ee3-8547-4881-921d-8be716e535cb,audi,,FAJRINE AUTO,4,audi a6 s ligne importer neuf en excellent état \\npour plus d’informations veuillez me contacter,Oui,8,diesel,oqrwc447ax88_1,47000,A6,,,12/05/2025 00:00,Casablanca,Casablanca,moteur,AUDI  A6 S ligne,Automatique,
332c51fe-6148-472f-97be-cfe4502f0ffc,peugeot,Excellent,Jamal,5,"CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Vitres électriques",Non,6,diesel,2on7pai5rb1h_17,424999,307,WW au Maroc,51000,12/05/2025 10:41,Agadir,Abattoirs,avito,Peugeot 307 Diesel Manuelle 2003 à Agadir,Manuelle,2003
3903504d-eba3-4ddb-96e0-a9c55a9529e4,seat,Excellent,TOYOTA OCCASIONShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Oui,8,diesel,jtng590ce6rf_5,27499,Ateca,WW au Maroc,305000,12/05/2025 12:16,Casablanca,Ain Sebaa,avito,Seat Ateca 12/2023 BVA 23000KM,Automatique,2023
95f6a2c1-0c8c-4346-b1be-93fcae1fe6a7,renault,Très bon,abosami autoShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Non,6,diesel,ltn1p6ksmxex_31,87499,Clio,WW au Maroc,175000,12/05/2025 13:05,Casablanca,Autre secteur,avito,Renault Clio5 RSline,Manuelle,2021
5b8bb246-1c56-4a9b-8848-19443883693a,bmw,,AUTO AYMANE,5,Bmw x3 diesel toute options boîte automatique climatisation digital volant multifonction ecran de bord gps radar de recul avant et arrière rétroviseur rabattabel antibrouillard les laides avant et arrière salon cuire jantes aluminium 19 pouces 4 vitter elc projecteurs xénon limiteur régulateur les laides avant et arrière 1ère main,Oui,8,diesel,0194wpw4kszy_6,149000,X3,,,26/05/2025 00:00,Casablanca,Casablanca,moteur,BMW  X3,Automatique,
7709d2b1-c87a-41eb-8315-7da4539f272c,hyundai,Excellent,Hassan,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Oui,6,diesel,zit3liercv38_16,104999,Tucson,WW au Maroc,180000,12/05/2025 13:01,Casablanca,Ferme Bretone,avito,Hyundai Veloster Diesel Automatique 2019,Automatique,2019
aad1c8f3-f14f-4ffc-991e-55c2c656fe3f,peugeot,,BADR,5,Voiture peugoet 208 modèle 2021 bon état .,Oui,6,diesel,fgd4sxja38ov_3,108200,208,,145000,12/05/2025 00:00,Agadir,Agadir,moteur,PEUGEOT  208 Active pack,Manuelle,
7dbfbb6d-02ee-429f-bc4c-3142896535bd,bmw,,AUTO EMERAUDE,5,Emeraude auto met en vente une bmw serie 520 d ww maroc full options . distronique sièges mémoires chauffants volant commande mal électrique ...... pour plus d'information merci de nous contacter,Oui,9,diesel,mg75hoti8dm0_17,34000,Serie,,,26/05/2025 00:00,Casablanca,Casablanca,moteur,BMW  Serie 5 520d,Automatique,
40915c5b-b00f-4e6e-a158-8941048f1fa8,mercedes-benz,,AUTO EMERAUDE,5,Mercedes classe c 220 en très bon état pour plus d'info contactez nous,Oui,9,diesel,habo8gpnz1zh_9,169000,Classe,,,12/05/2025 00:00,Casablanca,Casablanca,moteur,MERCEDES-BENZ  Classe c,Automatique,
e7b19dc8-2219-4485-82ec-58443cf8b3ce,nissan,Très bon,Voitures particuliers certifiées,5,,Non,8,essence,656te6nszp0l_10,47499,Qashqai,WW au Maroc,280000,12/05/2025 10:41,Casablanca,Autre secteur,avito,nissan qashqai,Automatique,2022
7abe6300-e52e-4c0e-a222-1bf32e69743f,volkswagen,,AUTO EMERAUDE,5,Véhicule en excellent état pour plus d’info contactez nous,Oui,8,diesel,2xo7dcf9t5p7_7,64000,T-roc,,,12/05/2025 00:00,Casablanca,Casablanca,moteur,VOLKSWAGEN  T-roc,Automatique,
f66f4cc7-bc96-4567-a74c-e2449556abb4,mercedes-benz,Excellent,K & H ShopBadge Icon,5,,Oui,27,essence,6opps1k7znai_23,82499,Classe GLC,Importée neuve,,12/05/2025 11:37,Casablanca,2 Mars,avito,Mercedes-Benz GLC 63s V8 essence Fuul carbon,Automatique,2019
daa11fe6-4b92-43d3-991d-385af526c28a,volkswagen,Excellent,TAMDA AUTOShopBadge Icon,5,,Non,8,hybride,e0whjzz2zju0_35,52499,Golf 8,Dédouanée,,12/05/2025 11:30,Rabat,Yacoub El Mansour,avito,GOLF 8 eHYBRID - 50.000 KM - DED 2024,Automatique,2022
